note,note_line,ref,status,candidates,source,ranges,span
models/ROMS/source-analysis/roms_analytical_functionals.md,33,ana_initial.h:32-53,AMBIGUOUS_SAME_MODEL,2,ROMS/Functionals/ana_initial.h,32-53,22
models/ROMS/source-analysis/roms_atmospheric_forcing.md,23,Nonlinear/pre_step3d.F:324-892,RESOLVED,1,ROMS/Nonlinear/pre_step3d.F,324-892,569
models/ROMS/source-analysis/roms_baroclinic_3d.md,47,pre_step3d.F:911-924,RESOLVED,1,ROMS/Nonlinear/pre_step3d.F,911-924,14
models/ROMS/source-analysis/roms_baroclinic_3d.md,87,pre_step3d.F:901-916,RESOLVED,1,ROMS/Nonlinear/pre_step3d.F,901-916,16
models/ROMS/source-analysis/roms_global_state_modules.md,69,mod_ocean.F:84-361,RESOLVED,1,ROMS/Modules/mod_ocean.F,84-361,278
models/ROMS/source-analysis/roms_grid_metrics.md,27,read_phypar.F:369-5081,RESOLVED,1,ROMS/Utility/read_phypar.F,369-5081,4713
models/ROMS/source-analysis/roms_io_netcdf.md,95,def_var.F:33-59,RESOLVED,1,ROMS/Utility/def_var.F,33-59,27
models/ROMS/source-analysis/roms_nonlinear_core_remaining.md,216,pre_step3d.F:126-1180,RESOLVED,1,ROMS/Nonlinear/pre_step3d.F,126-1180,1055
