station,start,end,duration_months,max_anomaly_c,mean_anomaly_c,max_sst_c
제주,2025-07,2026-04,10,3.913,1.993,28.968
서귀포,2005-06,2005-07,2,1.890,1.777,26.700
서귀포,2009-03,2009-04,2,1.255,1.154,17.318
서귀포,2013-09,2013-10,2,1.446,1.293,27.403
서귀포,2016-11,2016-12,2,0.775,0.741,22.161
서귀포,2017-05,2017-09,5,2.431,1.495,29.201
서귀포,2018-12,2019-05,6,1.252,1.093,19.789
서귀포,2019-12,2020-03,4,1.186,0.920,20.003
서귀포,2021-02,2021-07,6,1.741,1.374,26.551
서귀포,2021-09,2021-10,2,1.649,1.186,26.679
서귀포,2022-03,2022-05,3,2.222,1.584,19.649
서귀포,2022-07,2022-09,3,2.412,1.602,29.079
서귀포,2022-11,2023-06,8,1.847,1.167,22.316
서귀포,2023-09,2024-06,10,1.787,1.164,27.743
서귀포,2024-08,2024-11,4,3.578,2.695,30.561
서귀포,2025-07,2026-04,10,4.032,2.073,29.667
울산,1998-04,1998-06,3,1.607,1.217,21.002
울산,1998-09,1998-10,2,1.282,1.220,25.851
울산,2001-07,2001-08,2,1.657,1.633,27.637
울산,2013-09,2013-10,2,1.133,1.129,25.702
울산,2018-12,2019-05,6,1.272,0.980,17.937
울산,2019-12,2020-03,4,1.119,0.919,17.834
울산,2021-02,2021-04,3,1.806,1.500,16.583
울산,2021-06,2021-07,2,2.434,1.870,25.447
울산,2023-03,2023-06,4,1.551,1.326,21.226
울산,2024-04,2024-06,3,1.532,1.337,21.263
울산,2024-08,2024-11,4,3.377,2.320,28.404
울산,2025-07,2025-12,6,2.379,1.567,27.383
울산,2026-02,2026-04,3,1.147,1.038,15.924
포항,2001-08,2001-09,2,1.902,1.481,26.698
포항,2008-09,2008-10,2,1.424,1.249,24.714
포항,2009-02,2009-03,2,1.541,1.408,13.943
포항,2012-05,2012-07,3,1.338,1.145,23.293
포항,2016-12,2017-01,2,1.323,1.108,16.773
포항,2017-10,2017-11,2,1.287,1.214,22.442
포항,2018-07,2018-08,2,1.746,1.596,26.543
포항,2019-01,2019-05,5,1.881,1.450,17.437
포항,2019-12,2020-01,2,1.466,1.316,17.346
포항,2020-03,2020-04,2,1.378,1.362,15.518
포항,2021-02,2021-04,3,1.729,1.609,15.900
포항,2021-06,2021-08,3,2.860,1.866,26.452
