note,note_line,ref,status,source,ranges,span
models/Celeris/source-analysis/celeris-pipeline-graph.md,27,js/main.js:1873,RESOLVED_BY_SCOPE,js/main.js,1873-1873,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,28,js/main.js:1565–1595,RESOLVED_BY_SCOPE,js/main.js,1565-1595,31
models/Celeris/source-analysis/celeris-pipeline-graph.md,29,js/main.js:4013,RESOLVED_NARROWED,js/main.js,4013-4013,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,js/main.js:1881,RESOLVED_BY_SCOPE,js/main.js,1881-1881,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,js/main.js:1546,RESOLVED_BY_SCOPE,js/main.js,1546-1546,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,39,js/main.js:1927,RESOLVED_BY_SCOPE,js/main.js,1927-1927,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,40,js/main.js:1893,RESOLVED_BY_SCOPE,js/main.js,1893-1893,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,41,js/main.js:1896,RESOLVED_BY_SCOPE,js/main.js,1896-1896,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,42,js/main.js:1900,RESOLVED_BY_SCOPE,js/main.js,1900-1900,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,43,js/main.js:1904,RESOLVED_BY_SCOPE,js/main.js,1904-1904,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,44,js/main.js:1908,RESOLVED_BY_SCOPE,js/main.js,1908-1908,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,45,js/main.js:1909,RESOLVED_BY_SCOPE,js/main.js,1909-1909,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,46,js/main.js:1913,RESOLVED_BY_SCOPE,js/main.js,1913-1913,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,47,js/main.js:1917–1918,RESOLVED_BY_SCOPE,js/main.js,1917-1918,2
models/Celeris/source-analysis/celeris-pipeline-graph.md,48,js/main.js:1919–1924,RESOLVED_BY_SCOPE,js/main.js,1919-1924,6
models/Celeris/source-analysis/celeris-pipeline-graph.md,49,js/main.js:1934,RESOLVED_BY_SCOPE,js/main.js,1934-1934,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,51,js/main.js:1940,RESOLVED_BY_SCOPE,js/main.js,1940-1940,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,52,js/main.js:1944,RESOLVED_BY_SCOPE,js/main.js,1944-1944,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,53,js/main.js:1949,RESOLVED_BY_SCOPE,js/main.js,1949-1949,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,54,js/main.js:1951,RESOLVED_BY_SCOPE,js/main.js,1951-1951,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,55,js/main.js:1959,RESOLVED_BY_SCOPE,js/main.js,1959-1959,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,56,js/main.js:1963,RESOLVED_BY_SCOPE,js/main.js,1963-1963,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,57,js/main.js:1972,RESOLVED_BY_SCOPE,js/main.js,1972-1972,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,60,js/main.js:1984,RESOLVED_BY_SCOPE,js/main.js,1984-1984,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,61,js/main.js:1987,RESOLVED_BY_SCOPE,js/main.js,1987-1987,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,62,js/main.js:1990–1991,RESOLVED_BY_SCOPE,js/main.js,1990-1991,2
