note,note_line,ref,source,old,new,status,note_class
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,85,input.f90:6934-6939,EFDC/input.f90,6934-6939,7086-7091,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,87,caltsxy.f90:244-251,EFDC/caltsxy.f90,244-251,243-250,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,91,caltsxy.f90:253-255,EFDC/caltsxy.f90,253-255,252-254,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_baroclinic_eos.md,65,calpuv9c.f90:217-228,EFDC/calpuv9c.f90,217-228,217-228,IDENTICAL,UPDATE_REQUIRED
models/EFDC/source-analysis/efdc_baroclinic_eos.md,75,calexp.f90:1162-1352,EFDC/calexp.f90,1162-1352,1162-1295,MOVED,UPDATE_REQUIRED
models/EFDC/source-analysis/efdc_bottom_friction.md,21,hdmt.f90:253,EFDC/hdmt.f90,253,253,IDENTICAL,-
models/EFDC/source-analysis/efdc_bottom_friction.md,25,hdmt.f90:266-267,EFDC/hdmt.f90,266-267,266-267,IDENTICAL,-
models/EFDC/source-analysis/efdc_bottom_friction.md,25,calpuv9c.f90:269-270,EFDC/calpuv9c.f90,269-270,269-270,IDENTICAL,-
models/EFDC/source-analysis/efdc_bottom_friction.md,108,calpuv9c.f90:269-270,EFDC/calpuv9c.f90,269-270,269-270,IDENTICAL,-
models/EFDC/source-analysis/efdc_bottom_friction.md,109,"hdmt.f90:266-267,1170",EFDC/hdmt.f90,"266-267,1170","266-267,1170",IDENTICAL,-
models/EFDC/source-analysis/efdc_boundary_conditions.md,19,"input.f90:264, 548, 732-754, 852-867, 870-1321, 1352-1378, 2721-2995, 3656-3705, 5650-5685, 5717-5755, 5858-6277",EFDC/input.f90,"264,548,732-754,852-867,870-1321,1352-1378,2721-2995,3656-3705,5650-5685,5717-5755,5858-6277","269,570,755-778,884-896,903-1395,1445-1470,2818-3092,3753-3782,5801-5836,5868-5906,6009-6428",REANCHOR_REQUIRED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,21,setbcs.f90:203-490,EFDC/setbcs.f90,203-490,203-492,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,25,"calpuv9c.f90:638-642, 771-846, 1277-1304",EFDC/calpuv9c.f90,"638-642,771-846,1277-1304","638-642,771-846,1277-1304",IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,25,"calpuv2c.f90:591-599, 733-734, 747-790, 1191-1217",EFDC/calpuv2c.f90,"591-599,733-734,747-790,1191-1217","591-599,733-734,747-790,1191-1217",IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,36,input.f90:5650-5685,EFDC/input.f90,5650-5685,5801-5836,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,44,calpuv9c.f90:638-642,EFDC/calpuv9c.f90,638-642,638-642,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,44,calpuv2c.f90:591-599,EFDC/calpuv2c.f90,591-599,591-599,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,47,calexp.f90:629-669,EFDC/calexp.f90,629-669,629-669,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,47,calexp2t.f90:581-620,EFDC/calexp2t.f90,581-620,591-630,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,66,input.f90:5858-5904,EFDC/input.f90,5858-5904,6009-6055,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,72,input.f90:2721-2737,EFDC/input.f90,2721-2737,2818-2834,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,85,input.f90:1352-1360,EFDC/input.f90,1352-1360,1445-1451,REANCHOR_REQUIRED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,88,input.f90:1365-1378,EFDC/input.f90,1365-1378,1457-1470,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,99,input.f90:5717-5755,EFDC/input.f90,5717-5755,5868-5906,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,106,calpuv9c.f90:771-785,EFDC/calpuv9c.f90,771-785,771-785,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,106,calpuv2c.f90:733-734,EFDC/calpuv2c.f90,733-734,733-734,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,110,input.f90:870-889,EFDC/input.f90,870-889,903-919,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,121,setbcs.f90:211-300,EFDC/setbcs.f90,211-300,211-300,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,131,calpuv9c.f90:638-639,EFDC/calpuv9c.f90,638-639,638-639,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,132,calpuv2c.f90:591-592,EFDC/calpuv2c.f90,591-592,591-592,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,137,input.f90:3656-3689,EFDC/input.f90,3656-3689,3753-3778,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,145,calpuv9c.f90:736-759,EFDC/calpuv9c.f90,736-759,736-759,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,145,calpuv2c.f90:697-720,EFDC/calpuv2c.f90,697-720,697-720,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,152,input.f90:732-754,EFDC/input.f90,732-754,755-778,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,157,input.f90:980-1005,EFDC/input.f90,980-1005,1021-1044,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,174,calpuv9c.f90:804-846,EFDC/calpuv9c.f90,804-846,804-846,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,174,calpuv2c.f90:747-790,EFDC/calpuv2c.f90,747-790,747-790,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,176,calpuv9c.f90:1277-1304,EFDC/calpuv9c.f90,1277-1304,1277-1304,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,176,calpuv2c.f90:1191-1217,EFDC/calpuv2c.f90,1191-1217,1191-1217,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,198,input.f90:913-915,EFDC/input.f90,913-915,944-946,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_boundary_conditions.md,207,hdmt.f90:89,EFDC/hdmt.f90,89,89,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,23,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:621, 3722-3795",EFDC/input.f90,"621,3722-3795","643,3877-3952",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,24,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/mod_var_global.f90:991-992, 1098-1099",EFDC/mod_var_global.f90,"991-992,1098-1099","992-993,1099-1100",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,39,calhdmf.f90:23,EFDC/calhdmf.f90,23,23,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,128,calhdmf3.f90:22,EFDC/calhdmf3.f90,22,22,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,239,input.f90:621,EFDC/input.f90,621,643,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,240,"input.f90:621, 3791-3794",EFDC/input.f90,"621,3791-3794","643,3946-3951",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,241,input.f90:621,EFDC/input.f90,621,643,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,256,input.f90:3722-3795,EFDC/input.f90,3722-3795,3877-3952,MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,295,calhdmf.f90:338,EFDC/calhdmf.f90,338,338,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_dispersion.md,296,calhdmf.f90:89-105,EFDC/calhdmf.f90,89-105,89-105,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_drifters.md,22,aaefdc.f90:1105-1106,EFDC/aaefdc.f90,1105-1106,1106-1107,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,23,hdmt.f90:1378-1384,EFDC/hdmt.f90,1378-1384,1378-1384,IDENTICAL,-
models/EFDC/source-analysis/efdc_drifters.md,23,hdmt2t.f90:1058-1063,EFDC/hdmt2t.f90,1058-1063,1062-1067,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,24,input.f90:3088,EFDC/input.f90,3088,3185,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,43,aaefdc.f90:1105-1106,EFDC/aaefdc.f90,1105-1106,1106-1107,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,44,hdmt.f90:1378-1384,EFDC/hdmt.f90,1378-1384,1378-1384,IDENTICAL,-
models/EFDC/source-analysis/efdc_drifters.md,44,hdmt2t.f90:1058-1063,EFDC/hdmt2t.f90,1058-1063,1062-1067,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,48,input.f90:3088,EFDC/input.f90,3088,3185,MOVED,-
models/EFDC/source-analysis/efdc_drifters.md,185,hdmt.f90:1370-1384,EFDC/hdmt.f90,1370-1384,1370-1384,IDENTICAL,-
models/EFDC/source-analysis/efdc_drifters.md,185,hdmt2t.f90:1053-1063,EFDC/hdmt2t.f90,1053-1063,1057-1067,MOVED,-
models/EFDC/source-analysis/efdc_hydraulic_structures.md,21,input.f90:1352-6671,EFDC/input.f90,1352-6671,1445-6822,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,22,input.f90:6344-6671,EFDC/input.f90,6344-6671,6495-6822,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,23,hdmt.f90:587-589,EFDC/hdmt.f90,587-589,587-589,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,23,hdmt2t.f90:527-529,EFDC/hdmt2t.f90,527-529,527-529,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,24,calpuv9c.f90:609-784,EFDC/calpuv9c.f90,609-784,609-784,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,25,setbcs.f90:303-362,EFDC/setbcs.f90,303-362,303-362,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,98,input.f90:6580-6581,EFDC/input.f90,6580-6581,6731-6732,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,103,input.f90:6344-6387,EFDC/input.f90,6344-6387,6495-6538,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,135,"input.f90:6439, 6456, 6488, 6491",EFDC/input.f90,"6439,6456,6488,6491","6590,6607,6639,6642",MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,154,hdmt.f90:587-589,EFDC/hdmt.f90,587-589,587-589,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,154,hdmt2t.f90:527-529,EFDC/hdmt2t.f90,527-529,527-529,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,163,"calpuv9c.f90:609, 771-784",EFDC/calpuv9c.f90,"609,771-784","609,771-784",IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydraulic_structures.md,169,setbcs.f90:303-362,EFDC/setbcs.f90,303-362,303-362,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,19,aaefdc.f90:3187-3188,EFDC/aaefdc.f90,3187-3188,3189-3190,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,29,calexp.f90:218-227,EFDC/calexp.f90,218-227,218-227,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,29,calexp2t.f90:214-218,EFDC/calexp2t.f90,214-218,224-228,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,30,calexp.f90:571,EFDC/calexp.f90,571,571,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,31,calexp.f90:1133-1136,EFDC/calexp.f90,1133-1136,1133-1136,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,31,calexp2t.f90:1053-1056,EFDC/calexp2t.f90,1053-1056,1062-1065,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,32,calpuv9c.f90:256-257,EFDC/calpuv9c.f90,256-257,256-257,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,32,calpuv2c.f90:224-226,EFDC/calpuv2c.f90,224-226,224-226,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,34,calpuv9c.f90:269-270,EFDC/calpuv9c.f90,269-270,269-270,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,38,calpuv9c.f90:693-707,EFDC/calpuv9c.f90,693-707,693-707,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,38,calpuv2c.f90:656-664,EFDC/calpuv2c.f90,656-664,656-664,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,39,calpuv9c.f90:609,EFDC/calpuv9c.f90,609,609,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,41,calpuv9c.f90:771-772,EFDC/calpuv9c.f90,771-772,771-772,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,42,calpuv2c.f90:733-734,EFDC/calpuv2c.f90,733-734,733-734,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,44,calpuv9c.f90:804-807,EFDC/calpuv9c.f90,804-807,804-807,IDENTICAL,REVIEW_ONLY
